기업명,날짜,최고가,최저가
정원엔시스,2012.09.11,1795,
정원엔시스,2012.12.12,,495
피엔티,2012.09.21,19800,
피엔티,2012.12.10,,5950
케이씨피드,2012.09.07,7700,
케이씨피드,2012.12.12,,1920
디아이,2012.10.15,13100,
디아이,2012.06.28,,1425
대성창투,2012.10.05,2305,
대성창투,2012.12.12,,640
링네트,2012.09.13,6640,
링네트,2012.12.10,,1865
다믈멀티미디어,2012.09.03,7960,
다믈멀티미디어,2012.12.12,,1500
우성사료,2012.09.17,9200,
우성사료,2012.12.10,,2165
지엠피,2012.06.20,1800,
지엠피,2012.08.13,,507
이스타코,2012.10.11,1485,
이스타코,2012.12.12,,438
미래산업,2012.09.13,2075,
미래산업,2012.07.18,,348
솔고바이오,2012.09.19,2310,
솔고바이오,2012.12.10,,651
대양금속,2012.07.10,595,
대양금속,2012.12.06,,128
KG모빌리언스,2012.11.08,15300,
KG모빌리언스,2012.07.26,,4255
동방선기,2012.07.06,9820,
동방선기,2012.12.12,,3210
오픈베이스,2012.09.17,3850,
오픈베이스,2012.12.10,,794
써니전자,2012.08.24,10550,
써니전자,2012.10.19,,2760
우리들제약,2012.09.13,3400,
우리들제약,2012.12.12,,1060
